"association","fromObjectIdentity","toObjectIdentity"
"com.infa.ldm.relational.TableColumn","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date/date_quarter"
"com.infa.ldm.relational.TableColumn","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date/date_quarter_nme"
"com.infa.ldm.relational.TableColumn","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date/date_week_of_year"
"com.infa.ldm.relational.TableColumn","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date/date_year"
"com.infa.ldm.relational.TableColumn","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date/date_year_week_nme"
"com.infa.ldm.relational.TableColumn","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date/date_year_month_nme"
"com.infa.ldm.relational.TableColumn","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date/date_year_month"
"com.infa.ldm.relational.TableColumn","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date/date_year_quarter_nme"
"com.infa.ldm.relational.TableColumn","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date/date_year_nme"
"com.infa.ldm.relational.TableColumn","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date/date_day_ago_dt"
"com.infa.ldm.relational.TableColumn","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date/date_week_ago_dt"
"com.infa.ldm.relational.TableColumn","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date/date_month_ago_dt"
"com.infa.ldm.relational.TableColumn","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date/date_quarter_ago_dt"
"com.infa.ldm.relational.TableColumn","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date/date_year_ago_dt"
"com.infa.ldm.relational.TableColumn","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date/dw_batch_id"
"com.infa.ldm.relational.TableColumn","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date/dw_create_dt"
"com.infa.ldm.relational.TableColumn","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date/dw_last_update_dt"
"com.infa.ldm.relational.SchemaTable","denodo_vdp/policy_asset","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_location"
"com.infa.ldm.relational.TableColumn","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_location","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_location/loc_key"
"com.infa.ldm.relational.TableColumn","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_location","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_location/loc_id"
"com.infa.ldm.relational.TableColumn","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_location","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_location/loc_hashnk"
"com.infa.ldm.relational.TableColumn","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_location","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_location/loc_hashfull"
"com.infa.ldm.relational.TableColumn","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_location","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_location/loc_state_or_province_cd"
"com.infa.ldm.relational.TableColumn","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_location","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_location/loc_state_or_province_nme"
"com.infa.ldm.relational.TableColumn","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_location","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_location/loc_sub_div_type_cd"
"com.infa.ldm.relational.TableColumn","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_location","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_location/loc_sub_div_type_nme"
"com.infa.ldm.relational.TableColumn","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_location","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_location/loc_ctry_cd"
