"association","From Connection","To Connection","From Object","To Object"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_industry/industry_sector_cd","policy_asset/bv_sz_dw_xle_t_d_xle_org_industry/industry_sector_cd"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_industry/industry_sector_descr","policy_asset/bv_sz_dw_xle_t_d_xle_org_industry/industry_sector_descr"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_industry/industry_sector_grp_cd","policy_asset/bv_sz_dw_xle_t_d_xle_org_industry/industry_sector_grp_cd"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_industry/industry_sector_grp_descr","policy_asset/bv_sz_dw_xle_t_d_xle_org_industry/industry_sector_grp_descr"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_industry/industry_grp_parent_sales_descr","policy_asset/bv_sz_dw_xle_t_d_xle_org_industry/industry_grp_parent_sales_descr"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_industry/dw_row_start_dt","policy_asset/bv_sz_dw_xle_t_d_xle_org_industry/dw_row_start_dt"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_industry/dw_row_end_dt","policy_asset/bv_sz_dw_xle_t_d_xle_org_industry/dw_row_end_dt"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_industry/dw_batch_id","policy_asset/bv_sz_dw_xle_t_d_xle_org_industry/dw_batch_id"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_industry/dw_create_dt","policy_asset/bv_sz_dw_xle_t_d_xle_org_industry/dw_create_dt"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_industry/dw_last_update_dt","policy_asset/bv_sz_dw_xle_t_d_xle_org_industry/dw_last_update_dt"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_industry/dw_row_active_ind","policy_asset/bv_sz_dw_xle_t_d_xle_org_industry/dw_row_active_ind"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_line_of_business/org_lob_key","policy_asset/bv_sz_dw_xle_t_d_xle_org_line_of_business/org_lob_key"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_line_of_business/org_lob_id","policy_asset/bv_sz_dw_xle_t_d_xle_org_line_of_business/org_lob_id"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_line_of_business/org_lob_hashnk","policy_asset/bv_sz_dw_xle_t_d_xle_org_line_of_business/org_lob_hashnk"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_line_of_business/org_lob_hashfull","policy_asset/bv_sz_dw_xle_t_d_xle_org_line_of_business/org_lob_hashfull"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_line_of_business/sub_lob_cd","policy_asset/bv_sz_dw_xle_t_d_xle_org_line_of_business/sub_lob_cd"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_line_of_business/sub_lob_nme","policy_asset/bv_sz_dw_xle_t_d_xle_org_line_of_business/sub_lob_nme"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_line_of_business/lob_cd","policy_asset/bv_sz_dw_xle_t_d_xle_org_line_of_business/lob_cd"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_line_of_business/lob_nme","policy_asset/bv_sz_dw_xle_t_d_xle_org_line_of_business/lob_nme"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_line_of_business/lob_grp_cd","policy_asset/bv_sz_dw_xle_t_d_xle_org_line_of_business/lob_grp_cd"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_line_of_business/lob_grp_nme","policy_asset/bv_sz_dw_xle_t_d_xle_org_line_of_business/lob_grp_nme"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_line_of_business/dw_row_active_ind","policy_asset/bv_sz_dw_xle_t_d_xle_org_line_of_business/dw_row_active_ind"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_line_of_business/dw_row_start_dt","policy_asset/bv_sz_dw_xle_t_d_xle_org_line_of_business/dw_row_start_dt"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_line_of_business/dw_row_end_dt","policy_asset/bv_sz_dw_xle_t_d_xle_org_line_of_business/dw_row_end_dt"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_line_of_business/dw_batch_id","policy_asset/bv_sz_dw_xle_t_d_xle_org_line_of_business/dw_batch_id"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_line_of_business/dw_create_dt","policy_asset/bv_sz_dw_xle_t_d_xle_org_line_of_business/dw_create_dt"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_line_of_business/dw_last_update_dt","policy_asset/bv_sz_dw_xle_t_d_xle_org_line_of_business/dw_last_update_dt"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_producing_office_region/org_por_key","policy_asset/bv_sz_dw_xle_t_d_xle_org_producing_office_region/org_por_key"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_producing_office_region/org_por_id","policy_asset/bv_sz_dw_xle_t_d_xle_org_producing_office_region/org_por_id"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_producing_office_region/org_por_hashnk","policy_asset/bv_sz_dw_xle_t_d_xle_org_producing_office_region/org_por_hashnk"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_producing_office_region/org_por_hashfull","policy_asset/bv_sz_dw_xle_t_d_xle_org_producing_office_region/org_por_hashfull"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_producing_office_region/prod_office_cd","policy_asset/bv_sz_dw_xle_t_d_xle_org_producing_office_region/prod_office_cd"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_producing_office_region/prod_office_decsr","policy_asset/bv_sz_dw_xle_t_d_xle_org_producing_office_region/prod_office_decsr"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_producing_office_region/prod_ctry_cd","policy_asset/bv_sz_dw_xle_t_d_xle_org_producing_office_region/prod_ctry_cd"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_producing_office_region/prod_ctry_decsr","policy_asset/bv_sz_dw_xle_t_d_xle_org_producing_office_region/prod_ctry_decsr"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_producing_office_region/sub_region_cd","policy_asset/bv_sz_dw_xle_t_d_xle_org_producing_office_region/sub_region_cd"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_producing_office_region/sub_region_descr","policy_asset/bv_sz_dw_xle_t_d_xle_org_producing_office_region/sub_region_descr"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_producing_office_region/sub_region_chartf_cd","policy_asset/bv_sz_dw_xle_t_d_xle_org_producing_office_region/sub_region_chartf_cd"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_producing_office_region/region_cd","policy_asset/bv_sz_dw_xle_t_d_xle_org_producing_office_region/region_cd"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_producing_office_region/region_descr","policy_asset/bv_sz_dw_xle_t_d_xle_org_producing_office_region/region_descr"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_producing_office_region/segment_cd","policy_asset/bv_sz_dw_xle_t_d_xle_org_producing_office_region/segment_cd"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_producing_office_region/segment_descr","policy_asset/bv_sz_dw_xle_t_d_xle_org_producing_office_region/segment_descr"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_producing_office_region/dw_row_active_ind","policy_asset/bv_sz_dw_xle_t_d_xle_org_producing_office_region/dw_row_active_ind"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_producing_office_region/dw_row_start_dt","policy_asset/bv_sz_dw_xle_t_d_xle_org_producing_office_region/dw_row_start_dt"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_producing_office_region/dw_row_end_dt","policy_asset/bv_sz_dw_xle_t_d_xle_org_producing_office_region/dw_row_end_dt"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_producing_office_region/dw_batch_id","policy_asset/bv_sz_dw_xle_t_d_xle_org_producing_office_region/dw_batch_id"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_producing_office_region/dw_create_dt","policy_asset/bv_sz_dw_xle_t_d_xle_org_producing_office_region/dw_create_dt"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_producing_office_region/dw_last_update_dt","policy_asset/bv_sz_dw_xle_t_d_xle_org_producing_office_region/dw_last_update_dt"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_underwriting/org_uw_key","policy_asset/bv_sz_dw_xle_t_d_xle_org_underwriting/org_uw_key"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_underwriting/org_uw_id","policy_asset/bv_sz_dw_xle_t_d_xle_org_underwriting/org_uw_id"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_underwriting/org_uw_hashnk","policy_asset/bv_sz_dw_xle_t_d_xle_org_underwriting/org_uw_hashnk"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_underwriting/org_uw_hashfull","policy_asset/bv_sz_dw_xle_t_d_xle_org_underwriting/org_uw_hashfull"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_underwriting/uw_plan_ln_bus_cd","policy_asset/bv_sz_dw_xle_t_d_xle_org_underwriting/uw_plan_ln_bus_cd"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_underwriting/uw_plan_ln_bus_nme","policy_asset/bv_sz_dw_xle_t_d_xle_org_underwriting/uw_plan_ln_bus_nme"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_underwriting/uw_oper_bus_unit_cd","policy_asset/bv_sz_dw_xle_t_d_xle_org_underwriting/uw_oper_bus_unit_cd"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_underwriting/uw_oper_bus_unit_nme","policy_asset/bv_sz_dw_xle_t_d_xle_org_underwriting/uw_oper_bus_unit_nme"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_underwriting/uw_unit_cd","policy_asset/bv_sz_dw_xle_t_d_xle_org_underwriting/uw_unit_cd"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_underwriting/uw_unit_nme","policy_asset/bv_sz_dw_xle_t_d_xle_org_underwriting/uw_unit_nme"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_underwriting/uw_grp_cd","policy_asset/bv_sz_dw_xle_t_d_xle_org_underwriting/uw_grp_cd"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_underwriting/uw_grp_nme","policy_asset/bv_sz_dw_xle_t_d_xle_org_underwriting/uw_grp_nme"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_underwriting/uw_div_cd","policy_asset/bv_sz_dw_xle_t_d_xle_org_underwriting/uw_div_cd"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_underwriting/uw_div_nme","policy_asset/bv_sz_dw_xle_t_d_xle_org_underwriting/uw_div_nme"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_underwriting/uw_seg_cd","policy_asset/bv_sz_dw_xle_t_d_xle_org_underwriting/uw_seg_cd"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_underwriting/uw_seg_nme","policy_asset/bv_sz_dw_xle_t_d_xle_org_underwriting/uw_seg_nme"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_org_underwriting/uw_corp_grp_cd","policy_asset/bv_sz_dw_xle_t_d_xle_org_underwriting/uw_corp_grp_cd"
